PublishedDate|Language|Alert_definition|PT|Title|Content|Id|LinkURI
2023-10-05T07:50:39Z|en|flood|all|Flash <b>floods</b> kill at least 14 in northeastern India and leave more than 100 missing|NEW DELHI (AP) — Rescue workers were searching for more than 100 people on Thursday after flash <b>floods</b> triggered by a sudden heavy rainfall&nbsp;...|tag:google.com,2013:googlealerts/feed:7377215587900989542|https://nationalpost.com/pmn/news-pmn/flash-floods-kill-at-least-14-in-northeastern-india-and-leave-more-than-100-missing
2023-10-05T07:44:07Z|en|flood|all|8 dead, 22 armymen among 69 missing as flash <b>flood</b> wreaks havoc in Sikkim; Modi dials CM|Besides the 22 army personnel, 47 civilians were also missing, while 166 people have so far been rescued, including an armyman. Sikkim flash <b>floods</b>:&nbsp;...|tag:google.com,2013:googlealerts/feed:1218474220935360231|https://m.timesofindia.com/city/kolkata/8-dead-22-armymen-among-69-missing-as-flash-flood-wreaks-havoc-in-sikkim-modi-dials-cm/articleshow/104166559.cms
2023-10-05T06:57:51Z|en|flood|all|Tokyo Will Get a New Immersive Shopping, Dining Spot as Tourists <b>Flood</b> to Japan|(Bloomberg) -- A new immersive dining, shopping and entertainment attraction will open in Tokyo next spring, as more tourists <b>flood</b> into Japan and&nbsp;...|tag:google.com,2013:googlealerts/feed:11568202952123180859|https://www.bnnbloomberg.ca/tokyo-will-get-a-new-immersive-shopping-dining-spot-as-tourists-flood-to-japan-1.1980535
2023-10-05T06:15:39Z|en|flood|all|New York&#39;s <b>floods</b> weren&#39;t a one-off — here&#39;s how the city is preparing for the future - CNBC|New York flash <b>flooding</b> last week confirmed that climate change is outpacing infrastructure advancement, especially in the city.|tag:google.com,2013:googlealerts/feed:418994847420380038|https://www.cnbc.com/2023/10/04/new-york-city-flood-infrastructure-climate-chief.html
2023-10-05T04:34:43Z|en|flood|all|Residents in rural Australia evacuate homes as <b>floods</b> follow fires - Nasdaq|Residents of towns in the Australian state of Victoria were on Thursday warned it was still unsafe to return home, as flash <b>floods</b> followed&nbsp;...|tag:google.com,2013:googlealerts/feed:12564273273320122736|https://www.nasdaq.com/articles/residents-in-rural-australia-evacuate-homes-as-floods-follow-fires
2023-10-05T04:13:12Z|en|flood|all|Eight years since the historic <b>flood</b> of 2015 - Columbia - WLTX.com|Eight years since the historic <b>flood</b> of 2015 &middot; Download the Columbia News from WLTX News19 App.|tag:google.com,2013:googlealerts/feed:7498082795694369926|https://www.wltx.com/video/weather/eight-years-since-the-historic-flood-of-2015/101-c4c01c01-bb52-4872-b968-80ad6e465076
2023-10-05T03:57:16Z|en|flood|all|Emergency phone alerts have saved lives, and caused confusion - The Washington Post|In 2020, the agency switched to sending flash <b>flood</b> alerts only where the <b>flooding</b> was tagged as “considerable” or “catastrophic,” the two most&nbsp;...|tag:google.com,2013:googlealerts/feed:12559803822930797052|https://www.washingtonpost.com/weather/2023/10/04/wireless-emergency-alerts-weather-phones/
2023-10-05T03:43:17Z|en|flood|all|Sen. Bob Menendez&#39;s wife involved in 2018 deadly crash - NBC New York|Cleaning up from <b>flood</b> damage? Here&#39;s what homeowners should know &middot; Mayor ... New lawsuit after <b>flooding</b> forces people from Long Island co-op.|tag:google.com,2013:googlealerts/feed:13374125740230845369|https://www.nbcnewyork.com/news/local/sen-bob-menendezs-wife-involved-in-2018-deadly-crash/4739988/
2023-10-05T03:34:45Z|en|flood|all|Sexually graphic lesson concerns HISD parents - KHOU|<b>Flood</b> Watch issued for several Houston-area counties south of I-10 &middot; Sports &middot; VERIFY &middot; KHOU 11+ &middot; Search. Search: Search. Right Now. Houston, TX ». 80&nbsp;...|tag:google.com,2013:googlealerts/feed:13311720019539520672|https://www.khou.com/article/news/education/hisd-maya-angelou-lesson-concerns/285-cebd240a-accb-4a0e-8aef-006ea8b4f6bf
2023-10-05T03:20:20Z|en|flood|all|8 years after 2015 <b>flood</b>, Columbia Canal project still underway - WLTX.com|The <b>flood</b> destroyed many homes and businesses and caused the Columbia Canal to breach. Now, businesses and the City of Columbia are looking back on&nbsp;...|tag:google.com,2013:googlealerts/feed:16420063448108442120|https://www.wltx.com/article/news/local/8-years-after-2015-flood-columbia-canal-project/101-5fed1d7c-3f0a-44f2-b233-95ff254f0376
